Єдиний унікальний номер 142/917/24
Номер провадження № 3/142/646/24
ПОСТАНОВА
Іменем України
24 жовтня 2024 року смт. Піщанка
Суддя Піщанського районного суду Вінницької області Нестерук В. В., розглянувши матеріали, що надійшли від відділу прикордонної служби " ІНФОРМАЦІЯ_1 " ІНФОРМАЦІЯ_2, про притягнення до адміністративної відповідальності
ОСОБА_1, ІНФОРМАЦІЯ_3, уродженця м. Херсон Херсонської області, зареєстрованого в АДРЕСА_1, проживаючого в АДРЕСА_2, відповідно до протоколу непрацюючого, РНОКПП НОМЕР_1, -
за ч. 2 ст. 204-1 КУпАП,-
ВСТАНОВИВ:
24 жовтня 2024 року на адресу суду від відділу прикордонної служби " ІНФОРМАЦІЯ_1 " ІНФОРМАЦІЯ_2 надійшов протокол про адміністративне правопорушення ПдРУ № 254043 від 16 серпня 2024 року про притягнення ОСОБА_1, до адміністративної відповідальності за вчинення адміністративного правопорушення, передбаченого ч. 2 ст. 204-1 КУпАП.
Відповідно до вказаного протоколу про адміністративне правопорушення, 16 серпня 2024 року, о 19 годині 40 хвилини, на напрямку н.п. Городище (Україна) - н.п. Хрустова (Республіка Молдова) в районі проміжного прикордонного знаку № 0238, громадянин України ОСОБА_1 у складі групи осіб спільно з громадянами України ОСОБА_2, ОСОБА_3, ОСОБА_4, ОСОБА_5, ОСОБА_6, ОСОБА_7, у пішому порядку поза встановленими пунктами пропуску здійснив спробу незаконного перетину державного кордону України, чим порушив вимоги ст. 9 Закону України "Про державний кордон України" від 04 листопада 1991 року, тобто вчинив адміністративне правопорушення, відповідальність за яке передбачена ч. 2 ст. 204-1 КУпАП.
В судове засідання ОСОБА_1 не зʼявився, проте в матеріалах справи міститься його заява про визнання вини та розгляд справи у його відсутність. За вказаних обставин, враховуючи положення ст. 268 КУпАП суд вважає за можливе розглянути справу у відсутності особи, що притягується до адміністративної відповідальності.
Суд, вивчивши зміст протоколу про адміністративне правопорушення, дослідивши долучені матеріали, приходить до висновку, що ОСОБА_1 слід визнати винним у вчиненні адміністративного правопорушення передбаченого ч. 2 ст. 204-1 КУпАП з наступних підстав.
Відповідно до ст. 7 КУпАП ніхто не може бути підданий заходу впливу в звʼязку з адміністративним правопорушенням інакше як на підставах і в порядку, встановлених законом.
Відповідно до вимог ст. 9 КУпАП адміністративним правопорушенням (проступком) визнається протиправна, винна (умисна або необережна) дія чи бездіяльність, яка посягає на громадський порядок, власність, права і свободи громадян, на встановлений порядок управління і за яку законом передбачено адміністративну відповідальність.
Згідно ст. 245 КУпАП завданнями провадження в справах про адміністративні правопорушення є: своєчасне, всебічне, повне і обʼєктивне зʼясування обставин кожної справи, вирішення її в точній відповідності з законом, забезпечення виконання винесеної постанови, а також виявлення причин та умов, що сприяють вчиненню адміністративних правопорушень, запобігання правопорушенням, виховання громадян у дусі додержання законів, зміцнення законності.
Відповідно до ст. 252, 280 КУпАП при розгляді справи про адміністративне правопорушення суд має повно, всебічно та обʼєктивно дослідити всі обставини справи в їх сукупності та зʼясувати, чи було скоєно адміністративне правопорушення, чи винна особа у його вчиненні, чи підлягає вона адміністративній відповідальності, а також зʼясувати інші обставини, що мають значення для правильного вирішення справи.
Відповідно до ст. 3 Закону України "Про порядок виїзду з України і вʼїзду в Україну громадян України" перетинання громадянами України державного кордону України здійснюється в пунктах пропуску через державний кордон України після предʼявлення одного з документів, зазначених у статті 2 цього Закону.
Частиною 2 статті 204-1 КУпАП встановлено відповідальність за перетинання або спробу перетинання державного кордону України будь-яким способом поза пунктами пропуску через державний кордон України або в пунктах пропуску через державний кордон України без відповідних документів або з використанням підробленого документа чи таких, що містять недостовірні відомості про особу, чи без дозволу відповідних органів влади, вчинені групою осіб або особою, яку протягом року було піддано адміністративному стягненню за одне з порушень, передбачених частиною першою цієї статті.
Вина ОСОБА_1 у вчиненні адміністративного правопорушення передбаченого ч. 2 ст. 204-1 КУпАП повністю доведена дослідженими судом доказами.
Зокрема, відомостями, що містяться в протоколі про адміністративне правопорушення ПдРУ № 254043 від 16 серпня 2024 року, зафіксовано, що 16 серпня 2024 року, о 19 годині 40 хвилини, на напрямку н.п. Городище (Україна) - н.п. Хрустова (Республіка Молдова) в районі проміжного прикордонного знаку № 0238, громадянин України ОСОБА_1. у складі групи осіб спільно з громадянами України ОСОБА_2, ОСОБА_3, ОСОБА_4, ОСОБА_5, ОСОБА_6, ОСОБА_7, у пішому порядку поза встановленими пунктами пропуску здійснив спробу незаконного перетину державного кордону України, чим порушив вимоги ст. 9 Закону України "Про державний кордон України" від 04 листопада 1991 року.
Відповідно до рапорту першого заступника начальника відділу прикордонної служби «ІНФОРМАЦІЯ_1» (тип Б) майора ОСОБА_8 від 16 серпня 2024 року слідує, що о 19:40 16 серпня 2024 року в рамках проведення спеціальних заходів за інформацією військовослужбовця прикордонного оперативного підрозділу прикордонним нарядом «Група реагування» було виявлено сім громадян України (мешканців м. Черкаси, Черкаської області, Полтавської області, та м. Кривий Ріг), які мали намір незаконно перетнути ДК з України в РМ (ПMP) поза пунктом пропуску на напрямку н.п. Городище (Україна) - н.п. Хрустова (Республіка Молдова) в районі пп/зн № 0238, використовуючи надані невстановленими особами точки геолокації, заздалегідь побудованого маршруту руху за допомогою месенджера «Telegram».
Копією довідки щодо виникнення обстановки на ділянці впс " ІНФОРМАЦІЯ_1 " НОМЕР_2 прикордонного загону 16 серпня 2024 року та копією довідкової схеми виникнення обстановки на ділянці відповідальності впс " ІНФОРМАЦІЯ_1 " (тип Б) 16 серпня 2024 року, письмовими поясненнямиОСОБА_2, ОСОБА_3, ОСОБА_4, ОСОБА_5, ОСОБА_6, ОСОБА_7, підтверджується намір вказаних осіб незаконно перетнути ДК з України в РМ (ПМР) поза пунктом пропуску.
Також судом досліджено копію паспорта громадянина України, паспорта громадянина України для виїзду за кордон та картки платника податків ОСОБА_1.
В своїх письмових поясненнях від 16 серпня 2024 року ОСОБА_1 підтвердив обставини вчинення адміністративного правопорушення, зазначені в протоколі про адміністративне правопорушення відносно нього та визнає свою вину у вчиненому, пояснив, що мав намір незаконно перетнути державний кордон України в Республіку Молдова в пошуках кращого життя.
Оцінюючи досліджені докази у їх сукупності, суд приходить до висновку про доведеність винуватості ОСОБА_1 у вчиненні адміністративного правопорушення, передбаченого ч. 2 ст.204-1 КУпАП, а саме спробі перетинання державного кордону України будь-яким способом поза пунктами пропуску групою осіб.
Обставин, помʼякшуючих відповідальність ОСОБА_1 судом не встановлено.
Обставиною, що обтяжує відповідальність суд визнає вчинення правопорушення в умовах воєнного стану (п.5 ч.1 ст. 35 КУпАП)
Статтею 17 Закону України від 23.02.2006 року «Про виконання рішень та застосування практики Європейського суду з прав людини» передбачено, що «при розгляді справ суди застосовують Конвенцію та практику Суду як джерело права».
Європейський суд з прав людини поширює стандарти, які встановлює Конвенція для кримінального провадження, на провадження у справах про адміністративні правопорушення (справа «Надточий проти України від 15 травня 2008 року»). ЄСПЛ зазначив, що український уряд визнав кримінально-правовий характер Кодексу України про адміністративні правопорушення.
У справі «Ізмайлов проти росії» (п. 38 рішення від 16 жовтня 2008 року), Європейський Суд вказав, що при призначенні покарання «для того, щоб втручання вважалося пропорційним, воно має відповідати тяжкості правопорушення і не становити «особистий надмірний тягар для особи»». Також, як у справі «Бакланов проти росії» (рішення від 9 червня 2005 року), так і в справі «Фрізен проти росії» (рішення від 24 березня 2005 року) Європейський Суд з прав людини зазначив, що «досягнення справедливого балансу між загальними інтересами суспільства та вимогами захисту основоположних прав особи лише тоді стає значним, якщо встановлено, що під час відповідного втручання було дотримано принципу законності і воно не було свавільним».
На підставі викладеного, враховуючи характер та обставини правопорушення, дані про особу яка притягується до адміністративної відповідальності, суд приходить до переконання, що ОСОБА_1 слід визнати винним у вчиненні адміністративного правопорушення, передбаченого ч. 2 ст.204-1 КУпАП та вважає необхідним та достатнім для виправлення останнього буде застосування до нього адміністративного стягнення відповідно до вимог санкції ч.2 ст. 204-1 КУпАП у виді штрафу у розмірі пʼятисот неоподатковуваних мінімумів доходів громадян, що становить 8 500 гривень.
Відповідно до ст. 4 Закону України «Про судовий збір», ст. 40-1 КУпАП судовий збір у провадженні по справі про адміністративне правопорушення у разі винесення судом (суддею) постанови про накладення адміністративного стягнення сплачується особою, на яку накладено таке стягнення в розмірі 0,2 розміру прожиткового мінімуму для працездатних осіб, що становить 605 гривень 60 копійок.
Керуючись ст.ст. 33 - 35, 204-1, 221, 245, 252, 280, 283, 284, 285 КУпАП, суд, -
ПОСТАНОВИВ:
ОСОБА_1, ІНФОРМАЦІЯ_3, визнати винним у вчиненні адміністративного правопорушення, передбаченого ч.2 ст. 204-1 КУпАП, та застосувати до нього стягнення у виді штрафу у розмірі пʼятисот неоподатковуваних мінімумів доходів громадян, що становить 8 500 (вісім тисяч пʼятсот) гривень.
Стягнути з ОСОБА_1, ІНФОРМАЦІЯ_3, на користь держави судовий збір у розмірі 605 гривень 60 копійок.
Реквізити для сплати адміністративних штрафів та інших санкцій: Отримувач коштів: ГУК у Він.обл./смт. Піщанка /21081100; Код отримувача (код за ЄДРПОУ): 37979858; Банк отримувача: Казначейство України; Номер рахунку (IBAN): UA778999980313030106000002890; Код класифікації доходів бюджету: 21081100.
Платіжні реквізити для перерахування судового збору: Отримувач коштів ГУК у м. Києві/м. Київ/22030106; Код отримувача (код за ЄДРПОУ) 37993783; Банк отримувача Казначейство України (ЕАП); Рахунок отримувача UA908999980313111256000026001; Код класифікації доходів бюджету 22030106.
Розʼяснити правопорушнику, що у разі несплати штрафу в установлений ст. 307 КУпАП строк, постанова буде надіслана для примусового виконання до відділу державної виконавчої служби за місцем його проживання. У порядку примусового виконання постанови про стягнення штрафу за вчинення адміністративного правопорушення відповідно до вимог ст. 308 КУпАП з порушника стягується подвійний розмір штрафу, визначеного у відповідній статті цього Кодексу; витрати на облік зазначених правопорушень.
Постанова може бути оскаржена до Вінницького апеляційного суду через Піщанський районний суд Вінницької області особою, яку притягнуто до адміністративної відповідальності, його захисником, протягом десяти днів з дня винесення постанови.
Суддя:
=== ENTITIES ===
1:25    CASE_NUMBER        142/917/24
5:1     HEARING_DATE       24 жовтня 2024
6:7     COURT_RAYON        Піщанського
6:34    COURT_OBLAST       Вінницької
6:138   VPS                ІНФОРМАЦІЯ_1
7:37    BIRTH_SETTL        Херсон
7:44    BIRTH_OBLAST       Херсонської
10:1    RECEIVE_DATE       24 жовтня 2024
10:70   VPS                ІНФОРМАЦІЯ_1
10:151  PROTOCOL           ПдРУ № 254043
10:169  PROTO_DATE         16 серпня 2024
11:71   ARR_DATE           16 серпня 2024
11:94   ARR_TIME           19 годині 40 хвилини
11:133  SETTL_FROM         Городище
11:143  SETTL_CNTRY        Україна
11:159  SETTL_TO           Хрустова
11:169  SETTL_CNTRY        Республіка Молдова
11:231  ZNAK               0238
11:248  CITIZEN            України
11:306  CITIZEN            України
21:83   PROTOCOL           ПдРУ № 254043
21:101  PROTO_DATE         16 серпня 2024
21:138  ARR_DATE           16 серпня 2024
21:161  ARR_TIME           19 годині 40 хвилини
21:200  SETTL_FROM         Городище
21:210  SETTL_CNTRY        Україна
21:226  SETTL_TO           Хрустова
21:236  SETTL_CNTRY        Республіка Молдова
21:298  ZNAK               0238
21:315  CITIZEN            України
21:374  CITIZEN            України
22:82   VPS                ІНФОРМАЦІЯ_1
22:162  ARR_DATE           16 серпня 2024
22:316  GUARD              Група реагування
22:383  BIRTH_SETTL        Черкаси
22:392  BIRTH_OBLAST       Черкаської
22:412  BIRTH_OBLAST       Полтавської
22:502  BORDER_CNTRY       РМ
22:550  SETTL_FROM         Городище
22:560  SETTL_CNTRY        Україна
22:576  SETTL_TO           Хрустова
22:586  SETTL_CNTRY        Республіка Молдова
22:623  ZNAK               0238
23:60   VPS                ІНФОРМАЦІЯ_1
23:207  VPS                ІНФОРМАЦІЯ_1
23:398  BORDER_CNTRY       РМ
24:51   PASSPORT           України
24:81   PASSPORT           України
25:300  BORDER_CNTRY       Республіку Молдова
36:160  RESOLUTION         штрафу
36:245  FINE               8 500
